24-05-06 22:15:49.505 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
24-05-06 22:15:49.581 [main] INFO  c.i.R.ReadArticlesServerApplication - Starting ReadArticlesServerApplication using Java 17.0.10 with PID 28392 (C:\Users\inkro\IdeaProjects\ReadArticlesServer\build\classes\java\main started by inkro in C:\Users\inkro\IdeaProjects\ReadArticlesServer)
24-05-06 22:15:49.582 [main] INFO  c.i.R.ReadArticlesServerApplication - No active profile set, falling back to 1 default profile: "default"
24-05-06 22:15:50.373 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
24-05-06 22:15:50.376 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
24-05-06 22:15:50.446 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 63 ms. Found 4 JPA repository interfaces.
24-05-06 22:15:51.024 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 2448 (http)
24-05-06 22:15:51.034 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-2448"]
24-05-06 22:15:51.035 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
24-05-06 22:15:51.036 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
24-05-06 22:15:51.108 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
24-05-06 22:15:51.109 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1462 ms
24-05-06 22:15:51.182 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
24-05-06 22:15:51.295 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.sqlite.jdbc4.JDBC4Connection@7c71c889
24-05-06 22:15:51.297 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
24-05-06 22:15:51.362 [main] INFO  o.f.c.i.license.VersionPrinter - Flyway Community Edition 9.22.3 by Redgate
24-05-06 22:15:51.362 [main] INFO  o.f.c.i.license.VersionPrinter - See release notes here: https://rd.gt/416ObMi
24-05-06 22:15:51.362 [main] INFO  o.f.c.i.license.VersionPrinter - 
24-05-06 22:15:51.377 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:sqlite:./src/main/resources/db/server.db (SQLite 3.43)
24-05-06 22:15:51.405 [main] INFO  o.f.c.i.s.JdbcTableSchemaHistory - Schema history table "main"."flyway_schema_history" does not exist yet
24-05-06 22:15:51.407 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 1 migration (execution time 00:00.011s)
24-05-06 22:15:51.410 [main] INFO  o.f.c.i.s.JdbcTableSchemaHistory - Creating Schema History table "main"."flyway_schema_history" ...
24-05-06 22:15:51.432 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "main": << Empty Schema >>
24-05-06 22:15:51.440 [main] INFO  o.f.core.internal.command.DbMigrate - Migrating schema "main" to version "1 - create core tables"
24-05-06 22:15:51.454 [main] INFO  o.f.core.internal.command.DbMigrate - Successfully applied 1 migration to schema "main", now at version v1 (execution time 00:00.003s)
24-05-06 22:15:51.540 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
24-05-06 22:15:51.623 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
24-05-06 22:15:51.668 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
24-05-06 22:15:51.951 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
24-05-06 22:15:53.211 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
24-05-06 22:15:53.213 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
24-05-06 22:15:53.564 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - JSqlParser is in classpath; If applicable, JSqlParser will be used
24-05-06 22:15:53.564 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
24-05-06 22:15:54.089 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
24-05-06 22:15:54.372 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@1215982f, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@233202aa, org.springframework.security.web.context.SecurityContextHolderFilter@38950d4b, org.springframework.security.web.header.HeaderWriterFilter@2ba7828b, org.springframework.web.filter.CorsFilter@6e7d874c, org.springframework.security.web.authentication.logout.LogoutFilter@1836228d, com.inkronsane.ReadArticlesServer.security.JwtAuthFilter@1b897ffb, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@32fccfc2, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4702faee, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7d6f31ef, org.springframework.security.web.session.SessionManagementFilter@28245839, org.springframework.security.web.access.ExceptionTranslationFilter@707b0b9b, org.springframework.security.web.access.intercept.AuthorizationFilter@1724c649]
24-05-06 22:15:54.630 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-2448"]
24-05-06 22:15:54.649 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 2448 (http) with context path ''
24-05-06 22:15:54.659 [main] INFO  c.i.R.ReadArticlesServerApplication - Started ReadArticlesServerApplication in 5.562 seconds (process running for 6.616)
